id,name,type,typecode,biz_type,lon,lat
B0FFFAABII,小街桥,地名地址信息;交通地名;立交桥,190306,[],116.41927560368086,39.94819702717899
B0FFFAA8SX,东直门北桥,地名地址信息;交通地名;立交桥,190306,[],116.42650204145693,39.94762459248177
B000A84612,东土城路,地名地址信息;交通地名;道路名,190301,[],116.42617433072465,39.94867811492658
B0FFGZCDMO,民旺南胡同,地名地址信息;交通地名;道路名,190301,[],116.42187414049212,39.94993176984029
BZDCPW0267,后永康一巷,地名地址信息;交通地名;道路名,190301,[],116.4176129191479,39.94408954642975
BZDCPW024Y,东直门北小街,地名地址信息;交通地名;道路名,190301,[],116.41937227883523,39.94394029436197
BZDCPW028J,民安街,地名地址信息;交通地名;道路名,190301,[],116.422630147928,39.94329690457301
B0FFGQ9OD0,北利民胡同,地名地址信息;交通地名;道路名,190301,[],116.41841687019583,39.9448522953735
BZDCPW02AB,旗杆胡同,地名地址信息;交通地名;道路名,190301,[],116.41966753328285,39.945159551933855
BZDCPW02A2,针线胡同,地名地址信息;交通地名;道路名,190301,[],116.42058908050795,39.94329460445737
B0FFGZCEWK,针线二巷,地名地址信息;交通地名;道路名,190301,[],116.42049082445268,39.94419146287528
B0FFGZCBRI,民安胡同,地名地址信息;交通地名;道路名,190301,[],116.42464246217749,39.94277337003845
B0FFGQAUII,育树四条,地名地址信息;交通地名;道路名,190301,[],116.41720912598306,39.946290079046825
B0FFGQ9X6G,民旺四巷,地名地址信息;交通地名;道路名,190301,[],116.42160462169244,39.95080943003581
B0FFGQ9SX1,咸胡同,地名地址信息;交通地名;道路名,190301,[],116.42303501597101,39.9414704546457
B0FFGQ7WTX,针线一巷,地名地址信息;交通地名;道路名,190301,[],116.42059291663395,39.94462555602476
B0FFGQ7T1A,东扬威胡同,地名地址信息;交通地名;道路名,190301,[],116.42337351341743,39.94179184685237
B0FFGQ5G8I,民旺南胡同,地名地址信息;交通地名;道路名,190301,[],116.42387534189145,39.949504152069075
B0FFGQ4TJ2,育树三条胡同,地名地址信息;交通地名;道路名,190301,[],116.41840362364495,39.94665021136296
B0FFGQ4N31,白衣胡同,地名地址信息;交通地名;道路名,190301,[],116.42283356679887,39.94250617502035
B0FFGQ8S40,育树胡同,地名地址信息;交通地名;道路名,190301,[],116.41804331796016,39.94532891100677
B0FFGQ793V,北官厅胡同,地名地址信息;交通地名;道路名,190301,[],116.42077005439855,39.94556371144773
B0FFGQ6EPQ,后永康北巷,地名地址信息;交通地名;道路名,190301,[],116.41804750886756,39.94387297257978
B0FFGQ5OL1,后永康胡同,地名地址信息;交通地名;道路名,190301,[],116.41722252129982,39.94331920888901
B0FFGQ5RAQ,育树二条,地名地址信息;交通地名;道路名,190301,[],116.41809632303406,39.94583294260957
B0FFH14DUI,民旺社区,地名地址信息;普通地名;村庄级地名,190108,[],116.42080554037601,39.95000757510571
B0FFH167R5,民旺园27号楼A座,地名地址信息;门牌信息;楼栋号,190403,[],116.41965286441781,39.95025133602867
BZDCPW02HE,民旺中巷,地名地址信息;交通地名;道路名,190301,[],116.42285863366781,39.950148903272236
BZDCPW02F8,东扬威街,地名地址信息;交通地名;道路名,190301,[],116.42576647989716,39.941922845045106
BZDCPW02DW,安定门东滨河路,地名地址信息;交通地名;道路名,190301,[],116.42337158594594,39.949057557873196
BZDCPW02EL,安定门东滨河路,地名地址信息;交通地名;道路名,190301,[],116.41940168962044,39.948886129594996
BZDCPW02E9,东直门北顺城街,地名地址信息;交通地名;道路名,190301,[],116.42686513294471,39.94411821919316
B000A9NXCY,东土城路13号院1号楼,地名地址信息;门牌信息;楼栋号,190403,[],116.42582846224673,39.9507695773709
B000A9NWXO,和平新城30号楼,地名地址信息;门牌信息;楼栋号,190403,[],116.41956663621197,39.9511002130031
B0FFGSDX7H,民旺园25号,地名地址信息;门牌信息;楼栋号,190403,[],116.41964598586495,39.9492223693633
B0FFHVG7BH,东二环与北二环交叉口,地名地址信息;交通地名;路口名,190302,[],116.42554630198902,39.948202310697035
B0FFGGLVHC,民安街与针线胡同交叉口,地名地址信息;交通地名;路口名,190302,[],116.42059607777583,39.943395608039275
B0FFGGFJR9,民安胡同与民安街交叉口,地名地址信息;交通地名;路口名,190302,[],116.42412754910913,39.943253708852986
B000A9NO3N,民旺园28号楼,地名地址信息;门牌信息;楼栋号,190403,[],116.42035787045195,39.950183083777524
BZDCPW02E4,S12机场高速入口(东向),地名地址信息;交通地名;高速路入口,190305,[],116.42248029523998,39.94816653744813
B0FFI8L8IQ,育树胡同与青龙胡同交叉口,地名地址信息;交通地名;路口名,190302,[],116.41796902575443,39.94686277853133
B0FFGGU9XZ,东扬威胡同与咸胡同交叉口,地名地址信息;交通地名;路口名,190302,[],116.42303497570913,39.9417864420862
